Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class,Data type
${var.concept.national.vitamin-a-for-mother-at-6-wks.uuid},,Vitamin A for mother at 6 wks,Vitamin A for mother at 6 wks,Vitamin A for mother at 6 wks,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.counselled-mother-on-danger-signs.uuid},,Counselled mother on danger signs,Counselled mother on danger signs,Counselled mother on danger signs,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.counselled-mother-on-breastfeeding.uuid},,Counselled mother on breastfeeding,Counselled mother on breastfeeding,Counselled mother on breastfeeding,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.assessment-findings-of-the-mother-s-breasts.uuid},,Assessment findings of the mother's breasts,Assessment findings of the mother's breasts,Assessment findings of the mother's breasts,Question,Text,
${var.concept.national.fundal-height-assessment.uuid},,Fundal Height Assessment,Fundal Height Assessment,Fundal Height Assessment,Question,Text,
${var.concept.national.haemoglobin.uuid},,Haemoglobin,Haemoglobin,Haemoglobin,Question,Numeric,
${var.concept.national.assessment-of-the-condition-of-the-perineum.uuid},,Assessment of the condition of the perineum,Assessment of the condition of the perineum,Assessment of the condition of the perineum,Question,Text,
${var.concept.national.lochia-assessment.uuid},,Lochia Assessment,Lochia Assessment,Lochia Assessment,Question,Text,
${var.concept.national.mebendazole-administered.uuid},,Mebendazole administered?,Mebendazole administered?,Mebendazole administered?,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.general-health-status.uuid},,General health status,General health status,General health status,Question,Text,
${var.concept.national.intervention.uuid},,Intervention,Intervention,Intervention,Question,Text,
${var.concept.national.infant.uuid},,Infant,Infant,Infant,Question,Text,
${var.concept.national.received-kangaroo-care.uuid},,Received Kangaroo care,Received Kangaroo care,Received Kangaroo care,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.nevirapine-start-date.uuid},,Nevirapine start date,Nevirapine start date,Nevirapine start date,Question,Date,
${var.concept.national.chlorhexidine-administration.uuid},,Chlorhexidine administration,Chlorhexidine administration,Chlorhexidine administration,Question,Coded,${var.concept.national.before-24hrs.uuid};${var.concept.national.after-24hrs.uuid}${var.concept.national.placenta-delivery-time.uuid},,Placenta delivery time,Placenta delivery time,Placenta delivery time,Question,Time,
${var.concept.national.for-commodities.uuid},,For Commodities,For Commodities,For Commodities,Misc,N/A,
${var.concept.national.iuds.uuid},,IUDs,IUDs,IUDs,Misc,N/A,
${var.concept.national.counselling-done.uuid},,Counselling done,Counselling done,Counselling done,Question,Coded,${var.concept.ciel.yes.uuid};${var.concept.ciel.no.uuid}${var.concept.national.purpose-of-visit.uuid},,Purpose of visit,Purpose of visit,Purpose of visit,Question,Coded,${var.concept.national.for-commodities.uuid}${var.concept.national.date-when-the-family-planning-method-was-removed.uuid},,Date when the family planning method was removed,Date when the family planning method was removed,Date when the family planning method was removed,Question,Date,
${var.concept.national.family-planning-method-dispensed.uuid},,Family Planning method dispensed,Family Planning method dispensed,Family Planning method dispensed,Question,Coded,${var.concept.national.iuds.uuid}${var.concept.national.opv1.uuid},,OPV1,OPV1,OPV1,Misc,N/A,
${var.concept.national.oral.uuid},,Oral,Oral,Oral,Misc,N/A,
${var.concept.national.vit-a-blue-100-000iu.uuid},,"Vit.-A.Blue 100,000iu","Vit.-A.Blue 100,000iu","Vit.-A.Blue 100,000iu",Misc,N/A,
${var.concept.national.parent-caregiver.uuid},,Parent/Caregiver,Parent/Caregiver,Parent/Caregiver,Question,Text,
${var.concept.national.vaccine-name.uuid},,Vaccine Name,Vaccine Name,Vaccine Name,Question,Coded,${var.concept.national.opv1.uuid}${var.concept.national.aefi-vaccine-name.uuid},,AEFI Vaccine Name,AEFI Vaccine Name,AEFI Vaccine Name,Question,Text,
${var.concept.national.route.uuid},,Route,Route,Route,Question,Coded,${var.concept.national.oral.uuid}${var.concept.national.return-date-for-the-next-vaccination.uuid},,Return date for the next vaccination,Return date for the next vaccination,Return date for the next vaccination,Question,Date,
${var.concept.national.supplementary-immunization-activities.uuid},,Supplementary immunization activities,Supplementary immunization activities,Supplementary immunization activities,Question,Coded,${var.concept.national.vit-a-blue-100-000iu.uuid}${var.concept.national.date-of-onset-of-the-adverse-events.uuid},,Date of onset of the adverse events,Date of onset of the adverse events,Date of onset of the adverse events,Question,Date,
${var.concept.national.complaint-experienced.uuid},,Complaint experienced,Complaint experienced,Complaint experienced,Question,Text,
${var.concept.national.registration-fee.uuid},,Registration Fee,Registration Fee,Reg Fee,Misc,N/A,
