Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_version:1,_order:500
${var.concept.national.item-ebfa6b78.uuid},,,Clotrimazole Otic,Clotrimazole otic,Drug,N/A,,,
${var.concept.national.item-cbbde229.uuid},,,Clove Oil,Huile de clou de girofle,Drug,N/A,,,
${var.concept.national.item-1b535529.uuid},,,Cloxacillin,Cloxacilline,Drug,N/A,,,
${var.concept.national.item-a4615855.uuid},,,Co-Amoxiclav,Co-Amoxiclav,Drug,N/A,,,
${var.concept.national.item-55e6671b.uuid},,,Co-trimoxazole,Co-trimoxazole,Drug,N/A,,,
${var.concept.national.item-62f52893.uuid},,,Codeine Phosphate,Phosphate de codéine,Drug,N/A,,,
${var.concept.national.item-388ee6dc.uuid},,,Complex B,Complex B,Drug,N/A,,,
${var.concept.national.item-ced8473f.uuid},,,"Complex B (B1, B6, B12)","Complex B (B1, B6, B12)",Drug,N/A,,,
${var.concept.national.item-213140e7.uuid},,,Corticosteroid,Corticostéroïdes,Drug,N/A,,,
${var.concept.national.item-28ed2e52.uuid},,,Cortisone & antibiotic & antimycotic,Cortisone & antibio & antimycosique,Drug,N/A,,,
${var.concept.national.item-990f8299.uuid},,,Cremaffin,Cremaffin,Drug,N/A,,,
${var.concept.national.item-4d159957.uuid},,,Cyclobenzaprine,Cyclobenzaprine,Drug,N/A,,,
${var.concept.national.item-32ed8cb1.uuid},,,Cyclopentolate,Cyclopentolate,Drug,N/A,,,
${var.concept.ciel.74123.uuid},,,Cycloserine,Cyclosérine,Drug,N/A,,,
${var.concept.national.item-8f8920be.uuid},,,Dequalinium & Lidocaine,Déqualinium & Lidocaïne,Drug,N/A,,,
${var.concept.ciel.74609.uuid},,,Dexamethasone,Dexaméthasone,Drug,N/A,,,
${var.concept.national.item-2dbd29cf.uuid},,,Dextran,Dextran,Drug,N/A,,,
${var.concept.national.item-18b4fab2.uuid},,,Dextran in NaCl,Dextrane dans NaCl,Drug,N/A,,,
${var.concept.national.item-49be9771.uuid},,,Dextrose,Dextrose,Drug,N/A,,,
${var.concept.national.item-8f29cfad.uuid},,,Dextrose & Normal Saline (DNS),Dextrose & Chlorure de sodium (DNS),Drug,N/A,,,
${var.concept.ciel.74745.uuid},,,Diazepam,Diazépam,Drug,N/A,,,
${var.concept.national.item-391d02a4.uuid},,,Diclofenac,Diclofénac,Drug,N/A,,,
${var.concept.national.item-66c997ab.uuid},,,Diclofenac & Methocarbamol & Paracetamol,Diclofenac & Methocarbamol & Paracetamol,Drug,N/A,,,
${var.concept.national.item-05130695.uuid},,,Diclofenac & Vitamin B complex,Diclofénac & Complexe de vitamine B,Drug,N/A,,,
${var.concept.national.item-392ff197.uuid},,,Dicyclomine,Dicyclomine,Drug,N/A,,,
${var.concept.national.item-db3f2064.uuid},,,Didanosine (DDI),Didanosine (DDI),Drug,N/A,,,
${var.concept.national.item-39e70f10.uuid},,,Diethylcarbamazine,Diéthylcarbamazine,Drug,N/A,,,
${var.concept.national.item-72005c75.uuid},,,Digoxin,Digoxine,Drug,N/A,,,
${var.concept.national.item-5ac2861d.uuid},,,Diosmine & Hesperidine,Diosmine & Hesperidine,Drug,N/A,,,
${var.concept.national.item-1d4d3f02.uuid},,,Diphenhydramine,Diphenhydramine,Drug,N/A,,,
${var.concept.national.item-8652f96c.uuid},,,Diphenidramine,Diphenidramine,Drug,N/A,,,
${var.concept.national.item-59381959.uuid},,,Diphtheria Tetanus Pertusis Vaccine (DTP),Vaccin diphtérique tétanique coquelucheux (DTP),Drug,N/A,,,
${var.concept.national.item-51ef2b9a.uuid},,,Diphtheria Tetanus Vaccine (DT),Vaccin diphtérique tétanique (dT),Drug,N/A,,,
${var.concept.national.item-34f39ebd.uuid},,,Dipirone,Dipirone,Drug,N/A,,,
${var.concept.national.item-0948a889.uuid},,,Disodium Hydrogen Citrate,Hydrogéno-citrate disodique,Drug,N/A,,,
${var.concept.ciel.75121.uuid},,,Docusate Sodium,Docusate de sodium,Drug,N/A,,,
${var.concept.national.item-b50b13e1.uuid},,,Dolex,Dolex,Drug,N/A,,,
${var.concept.national.item-b68192db.uuid},,,Domperidone,Dompéridone,Drug,N/A,,,
${var.concept.national.item-f1e6e3c0.uuid},,,Dopamine,Dopamine,Drug,N/A,,,
${var.concept.national.item-3d0fed4d.uuid},,,Dorzolamine & timolol,Dorzolamine & timolol,Drug,N/A,,,
${var.concept.national.item-b571adbe.uuid},,,Doxycycline,Doxycycline,Drug,N/A,,,
${var.concept.national.item-497457dc.uuid},,,Dyphenhydramine,Dyphenhydramine,Drug,N/A,,,
${var.concept.national.item-ec4cfcae.uuid},,,Dipyrone,Dipyrone,Drug,N/A,,,
${var.concept.national.item-6744c8d5.uuid},,,Efavirenz (ENV or EFZ),Efavirenz (ENV ou EFZ),Drug,N/A,,,
${var.concept.national.item-da210f84.uuid},,,Efavirenz & Lamivudine & Tenofovir,Efavirenz & Lamivudine & Tenofovir,Drug,N/A,,,
${var.concept.national.item-8d26417d.uuid},,,Emollient Lotion,Lotion émolliente,Drug,N/A,,,
${var.concept.national.item-d612ddcc.uuid},,,Enalapril,Enalapril,Drug,N/A,,,
${var.concept.national.item-14146168.uuid},,,Enoxaparin,Énoxaparine,Drug,N/A,,,
${var.concept.ciel.75720.uuid},,,Ephedrine,éphédrine,Drug,N/A,,,
${var.concept.national.item-5f9d24b2.uuid},,,Ergotamine,Ergotamine,Drug,N/A,,,
${var.concept.ciel.75842.uuid},,,Erythromycin,Erythromycine,Drug,N/A,,,
${var.concept.national.item-bbd3baa3.uuid},,,Erythromycin estolate,Estolate érythromycine,Drug,N/A,,,
${var.concept.national.item-62313920.uuid},,,Esmolol,Esmolol,Drug,N/A,,,
${var.concept.national.item-aa018411.uuid},,,Ethambutol,Ethambutol,Drug,N/A,,,
${var.concept.national.item-e5c615d2.uuid},,,Ethamsylate,Ethamsylate,Drug,N/A,,,
${var.concept.national.item-706797d0.uuid},,,Ethionamide,Ethionamide,Drug,N/A,,,
${var.concept.national.item-153a837f.uuid},,,Etomidate,Etomidate,Drug,N/A,,,
${var.concept.national.item-7f097fc4.uuid},,,Etophylline & Theophylline,Etophylline et theophylline,Drug,N/A,,,
${var.concept.national.item-48bcdab5.uuid},,,Eucalyptus & Diphenhydramine & Phenylephrine,Eucalyptus & Diphenhydramine & Phenylephrine,Drug,N/A,,,
${var.concept.national.item-cee47202.uuid},,,Eucerin,Eucerin,Drug,N/A,,,
${var.concept.national.item-70f0f39c.uuid},,,Eye glasses,Lunettes,Drug,N/A,,,
${var.concept.national.item-fdb394d2.uuid},,,Famciclovir,Famciclovir,Drug,N/A,,,
${var.concept.national.item-1a615bb7.uuid},,,Fenofibrate,Fénofibrate,Drug,N/A,,,
${var.concept.ciel.76272.uuid},,,Fentanyl,Fentanyl,Drug,N/A,,,
