Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form,Strength,_version:1
${var.drug.pharmacy.item-82cc193d.uuid},,Multivitamin & Lysine,${var.concept.national.item-82cc193d.uuid},,,
${var.drug.pharmacy.item-dd850b07.uuid},,Neomycin & Bacitracin,${var.concept.national.item-dd850b07.uuid},,,
${var.drug.pharmacy.item-a1b11bd9.uuid},,Neomycin & Polymyxin B & Bacitracin Zinc,${var.concept.national.item-a1b11bd9.uuid},,,
${var.drug.pharmacy.item-1bcc8df8.uuid},,Nevirapine (NVP),${var.concept.national.item-1bcc8df8.uuid},,,
${var.drug.pharmacy.item-0d935b47.uuid},,Nifedepine SR,${var.concept.national.item-0d935b47.uuid},,,
${var.drug.pharmacy.item-2f427b27.uuid},,"Nitrofurasone, Neomycin, Dexamethasone (Otofuran®)",${var.concept.national.item-2f427b27.uuid},,,
${var.drug.pharmacy.item-b78b18d6.uuid},,Nitroglycerin (Glycerine Trinitrate),${var.concept.national.item-b78b18d6.uuid},,,
${var.drug.pharmacy.item-3009dd8b.uuid},,Nitroprussiate,${var.concept.national.item-3009dd8b.uuid},,,
${var.drug.pharmacy.item-cc4a27b0.uuid},,Normal Saline (NS),${var.concept.national.item-cc4a27b0.uuid},,,
${var.drug.pharmacy.item-a30dc1f2.uuid},,Nystatin & Zinc Oxide,${var.concept.national.item-a30dc1f2.uuid},,,
${var.drug.pharmacy.item-6ff87358.uuid},,Ondansetron hydrochloride,${var.concept.national.item-6ff87358.uuid},,,
${var.drug.pharmacy.item-4f4a63d6.uuid},,Oral Hormonal Contraceptive Pills,${var.concept.national.item-4f4a63d6.uuid},,,
${var.drug.pharmacy.item-556d6907.uuid},,Oral polio vaccine (OPV),${var.concept.national.item-556d6907.uuid},,,
${var.drug.pharmacy.item-98764756.uuid},,Oral Rehydration Solution (ORS),${var.concept.national.item-98764756.uuid},,,
${var.drug.pharmacy.item-28001e9e.uuid},,Oral rehydration therapy,${var.concept.national.item-28001e9e.uuid},,,
${var.drug.pharmacy.item-3fc18bdb.uuid},,Orthopedic device,${var.concept.national.item-3fc18bdb.uuid},,,
${var.drug.pharmacy.item-2ba5c05a.uuid},,P Dextrose And Electrolyte Solution,${var.concept.national.item-2ba5c05a.uuid},,,
${var.drug.pharmacy.item-03fd8509.uuid},,Paracetamol & Chlorzoxasone,${var.concept.national.item-03fd8509.uuid},,,
${var.drug.pharmacy.item-2f24dfb3.uuid},,Paracetamol & Codeine Phosphate,${var.concept.national.item-2f24dfb3.uuid},,,
${var.drug.pharmacy.item-8686e582.uuid},,Paracetamol Paediatric,${var.concept.national.item-8686e582.uuid},,,
${var.drug.pharmacy.item-214ebdfb.uuid},,Paradichloro Benzene,${var.concept.national.item-214ebdfb.uuid},,,
${var.drug.pharmacy.item-9d7acd58.uuid},,"Paradichlorobenzene, Benzocaine, Chlorbutol & Turpentine Oil",${var.concept.national.item-9d7acd58.uuid},,,
${var.drug.pharmacy.item-8f63ffb3.uuid},,Parenteral nutrition (peripheral at least),${var.concept.national.item-8f63ffb3.uuid},,,
${var.drug.pharmacy.item-85be45f9.uuid},,"Peanut, Sugar, Vegetable oil, Milk, Vitamins, minerals",${var.concept.national.item-85be45f9.uuid},,,
${var.drug.pharmacy.item-613c8c54.uuid},,Pentavalent Vaccine (Penta),${var.concept.national.item-613c8c54.uuid},,,
${var.drug.pharmacy.item-5b1d3ede.uuid},,Permanganate potassium,${var.concept.national.item-5b1d3ede.uuid},,,
${var.drug.pharmacy.item-677d828f.uuid},,Petroleum,${var.concept.national.item-677d828f.uuid},,,
${var.drug.pharmacy.item-0158e0b1.uuid},,Pfizer-BioNTech Covid 19 Vaccine,${var.concept.national.item-0158e0b1.uuid},,,
${var.drug.pharmacy.ciel-81951.uuid},,Phenobarbital,${var.concept.ciel.81951.uuid},,,
${var.drug.pharmacy.item-172ca645.uuid},,Phenobarbitone,${var.concept.national.item-172ca645.uuid},,,
${var.drug.pharmacy.item-f3ea42fb.uuid},,Phenylephrine & pramoxine,${var.concept.national.item-f3ea42fb.uuid},,,
${var.drug.pharmacy.ciel-82023.uuid},,Phenytoin,${var.concept.ciel.82023.uuid},,,
${var.drug.pharmacy.item-f2bbf84c.uuid},,Phytomenadione (Vit K),${var.concept.national.item-f2bbf84c.uuid},,,
